"ROI","group","UC_lh","UC_rh","LC_lh","LC_rh","LI_lh","LI_rh","UI_lh","UI_rh","central5_lh","central5_rh"
"IOG-faces","adolescents","40 ± 36","27 ± 32","54 ± 39","58 ± 29","2 ± 2","13 ± 18","4 ± 9","2 ± 4","33 ± 41","54 ± 30"
"IOG-faces","Adults","49 ± 31","37 ± 26","48 ± 32","50 ± 26","1 ± 2"," 7 ± 11","2 ± 5","5 ± 9","27 ± 37","39 ± 27"
"pFus-faces","adolescents","44 ± 29","30 ± 27","49 ± 25","54 ± 27","6 ± 15","10 ± 11","1 ±  2","5 ± 7","28 ± 21","42 ± 23"
"pFus-faces","Adults","47 ± 29","35 ± 24","43 ± 27","46 ± 24","6 ± 18","12 ± 14","3 ± 10","8 ± 9","27 ± 24","40 ± 19"
"mFus-faces","adolescents","50 ± 13","34 ± 23","43 ± 15","36 ± 27","3 ±  4","18 ± 27","4 ± 7","12 ± 11","39 ± 22","58 ± 27"
"mFus-faces","Adults","40 ± 18","29 ± 19","48 ± 21","50 ± 22","6 ± 10","14 ± 13","6 ± 9"," 8 ±  7","34 ± 20","51 ± 20"
"pOTS-words","adolescents","34 ± 29","17 ± 26","56 ± 29","74 ± 23","7 ± 14","9 ± 13","3 ± 7","0 ± 0","36 ± 21","24 ± 16"
"pOTS-words","Adults","42 ± 29","22 ± 22","52 ± 29","71 ± 25","3 ±  7","5 ± 12","2 ± 5","2 ± 5","29 ± 23","33 ± 26"
"mOTS-words","adolescents","26 ± 25"," ","59 ± 23"," ","12 ± 21"," ","2 ± 3"," ","22 ± 29"," "
"mOTS-words","Adults","44 ± 26"," ","52 ± 28"," "," 1 ±  2"," ","3 ± 8"," ","34 ± 30"," "
"OTS-bodies","adolescents","34 ± 23","24 ± 26","59 ± 28","57 ± 21","3 ±  4","17 ± 16","4 ± 10","3 ± 4","32 ± 26","38 ± 25"
"OTS-bodies","Adults","22 ± 25","17 ± 23","67 ± 30","56 ± 29","7 ± 10","24 ± 29","4 ± 10","2 ± 5","32 ± 28","30 ± 20"
"CoS-places","adolescents","72 ± 18","46 ± 15","27 ± 18","49 ± 15","0 ± 0","3 ± 4","0 ± 1","2 ± 5","6 ±  8","20 ± 11"
"CoS-places","Adults","72 ± 20","51 ± 26","27 ± 20","42 ± 23","0 ± 2","4 ± 8","1 ± 3","3 ± 6","8 ± 10","18 ± 11"
"LOS-limbs","adolescents","33 ± 21","32 ± 21","65 ± 23","65 ± 24","1 ± 3","2 ± 6","1 ± 3","2 ± 5"," 6 ± 11","10 ± 11"
"LOS-limbs","Adults","37 ± 23","29 ± 17","62 ± 25","65 ± 21","1 ± 2","3 ± 8","1 ± 4","2 ± 5","12 ± 18","16 ± 12"
"ITG-limbs","adolescents","36 ± 27","19 ± 22","55 ± 32","77 ± 23","4 ± 8","3 ±  6","5 ± 10","1 ± 2","20 ± 19","12 ± 12"
"ITG-limbs","Adults","39 ± 32","21 ± 24","56 ± 33","67 ± 27","2 ± 7","9 ± 13","2 ±  6","2 ± 5"," 9 ± 11","20 ± 20"
"MTG-limbs","adolescents","50 ± 31","29 ± 21","36 ± 30","48 ± 27","5 ± 9","12 ± 11","9 ± 15","10 ± 11","15 ± 15","21 ± 14"
"MTG-limbs","Adults","39 ± 27","25 ± 23","47 ± 31","54 ± 29","6 ± 8","14 ± 16","8 ± 10"," 8 ± 13","20 ± 13","20 ± 14"
"pSTS-faces","adolescents","40 ± 30","38 ± 23","55 ± 29","28 ±  7","4 ±  9","17 ± 17","2 ± 4","16 ±  9","9 ± 15","39 ± 13"
"pSTS-faces","Adults","55 ± 36","43 ± 37","37 ± 35","30 ± 34","4 ± 10","13 ± 24","4 ± 7","15 ± 23","9 ± 13","29 ± 37"
"MOG-places","adolescents","34 ± 29","27 ± 21","66 ± 29","73 ± 21","0 ± 0","0 ± 1","0 ± 0","0 ± 0","13 ± 12","15 ±  8"
"MOG-places","Adults","28 ± 27","23 ± 28","71 ± 27","73 ± 28","0 ± 1","4 ± 7","0 ± 0","1 ± 4","11 ± 11","18 ± 13"
"IPS-places","adolescents","67 ± 24","47 ± 18","32 ± 24","49 ± 17","0 ± 0","2 ± 7","1 ± 3","2 ± 4","11 ± 14","15 ± 14"
"IPS-places","Adults","69 ± 26","46 ± 35","28 ± 27","50 ± 33","0 ± 1","3 ± 8","2 ± 9","1 ± 3"," 9 ±  9","16 ± 13"
